@relation train_teg

@attribute titulo string
@attribute resumen string
@attribute palabras_clave string
@attribute _mencion_ {'aplicaciones en internet','tecnologías de comunicación y redes de computadoras','base de datos','inteligencia artificial','sistemas de información'}

@data
'una herramienta basada en tecnología palm pilot para el sistema industrial de crédito: análisis de factibilidad y diseño de una interfaz de comunicación.','el banco de la gente emprendedora tiene planteado dentro de sus estrategias organizacional la implantación de un sistema que apoye la gestión de la asistente administrativo y el asesor de negocio, automatizando el proceso de transcripción de información de las solicitudes de crédito de los clientes y mejorando los procesos de obtención de información del estatus de la cartera de crédito para el asesor de negocio; el mejoramiento de ambos procesos aumentaría la productividad de ambas áreas, lo que se traduciría en un ofrecimiento adecuado del servicio que se le presta a los clientes y el cumplimiento del eslogan de la organización créditos rápidos y sin tanto papeleo. otra ventaja para el desarrollo de un sistema de esta envergadura es lo relacionado al ahorro de recursos materiales tales como papel, tinta, consumibles, espacio físico de equipos destinados para asesores de negocio, etc. por lo antes expuesto es que se está desarrollando un sistema basado en tecnología pal pilot (dispositivos móviles) para la captura de información en campo de las solicitudes de crédito de clientes, que a través de su respectiva interfaz podrá llevar dicha información al core principal de la organización eliminando las transcripciones innecesarias, el gasto excesivo de papel, uso de formularios, consumibles, etc. y eliminara en gran medida el uso y tiempo requerido de la fuerza de venta en un computador personal, ya que la mayoría de la información requerida estará disponible en su dispositivo de bolsillo (palm pilot) a través de las distintas sincronizaciones con la interfaz, mejorando así eficientemente el servicio que se le presta a los clientes de esta prestigiosa organización financiera.','estrategia organizacional, procesos, interfase, dispositivos móviles, ahorro, productividad y servicio.','sistemas de información'
'elaboración de un gem de ruby que encapsule un middleware sms para el envío y recepción de mensajes de texto.','el presente trabajo especial de grado tiene como objetivo principal la elaboración de un gem de extensión para el lenguaje de programación ruby. este gem encapsula un middleware que permite el envío y recepción de mensajes de texto a través de dispositivos celulares conectados al computador. para la realización de los módulos de envío y recepción de mensajes se utiliza gnokii, logrando la omunicación del computador con el dispositivo celular a través de comandos at. dichos comandos están soportados hoy en día por la mayoría de los teléfonos celulares que utilizan la tecnología gsm. se debe utilizar un mecanismo para poder integrar la librería gnokii(en lenguaje c/c++) con el lenguaje ruby, para esto, debe crearse una extensión a partir del código desarrollado en lenguaje c/c++. existen distintos mecanismos que permiten la creación de una extensión para ruby. se puede crear manualmente, utilizando un generador como swig, o utilizar código c/c++ embebido en código ruby. al construir un gem de ruby, éste puede ser distribuido fácilmente colocándolo en repositorios como github o rubyforge, desde donde puede ser descargado y utilizado por otros usuarios.','sms, ruby, gem, comandos at.','aplicaciones en internet'
'wradvs: un servidor de autoconfiguración sin estado para ipv6 en plataforma windows','el presente trabajo especial de grado consiste en el desarrollo de una aplicación denominada wradvs que lleva a cabo el proceso de autoconfiguración sin estado de ipv6 a través de un servicio de windows. el documento comienza con un estudio teórico de todos los conceptos necesarios para la comprensión del proceso de autoconfiguración sin estado incluyendo los rfc 2460, 4861, 5006, 4191, 3775 y 3963. la implementación se lleva a cabo utilizando una metodología ágil de desarrollo denominada scrum que propone ciclos cortos para la planificación y posterior codificación de los diferentes módulos de la aplicación. la aplicación consta de cuatro módulos: el módulo de configuración del servidor permite almacenar todos los parámetros y opciones de los mensajes router advertisement en un archivo xml. el módulo principal es el servidor wradvs que lee este archivo para enviar mensajes router advertisement periódicos y en respuesta a mensajes router solicitation mientras llena un log de eventos con mensajes de información y error. para la lectura del log se ofrece un visor de eventos que muestra la información en tiempo real. por último se proporciona una herramienta para la administración de direcciones ipv6, rutas por defecto, tabla de enrutamiento y reenvío de paquetes. cada módulo posee una amigable e intuitiva interfaz gráfica para sus usuarios. el producto final junto a la documentación de la investigación está publicada como una aplicación con licencia gnu gpl a través de sourceforge.net (un sitio web que permite el hospedaje y distribución de software libre y sistemas de código abierto) en el siguiente enlace: http:// wradvs.sourceforge.net.','stateless autoconfiguration, router advertisement, ipv6, windows, service, daemon, server.','tecnologías de comunicación y redes de computadoras'
'desarrollo de la aplicación de gestión académica conest 2.0: módulo administrativo','el objetivo de este trabajo especial de grado consiste en generar la nueva versión del sistema conest, basándose en la experiencia del desarrollo de la versión anterior, realizando migraciones de tecnología y datos, además de realizar mejoras correspondientes a las entidades, procesos, gestiones administrativas, interfaces, entre otras actividades necesarias para la evolución del software. asimismo brindará un mejor soporte al personal involucrado, aumentando su satisfacción al usar nuevas tecnologías relacionadas con la web 2.0, que ofrecen beneficios tales como, accesibilidad para el usuario, usabilidad del sistema y personalización de la aplicación. en esta investigación se realiza un estudio de los modelos de datos, comparando el existente y el propuesto. el método de desarrollo de software utilizado es programación extrema (xp). como producto final se obtienen las funcionalidades del módulo de administración del sistema conest 2.0, relacionadas a la gestión administrativa de los estudiantes y docentes de la facultad de ciencias.','conest, conest 2.0, modelo vista controlador (mvc), ruby on rails, rails 2.3, migración de datos, migración de tecnologías, división de control de estudios, web 2.0, programación extrema (xp).','aplicaciones en internet'
'desarrollo de una aplicación colaborativa vía web para reuniones electrónicas asícronas','actualmente es de gran interés el proveer herramientas usables que faciliten la comunicación entre los miembros de una organización, han surgido soluciones que superan las barreras de tiempo y espacio para facilitar la comunicación, como lo son el chat y los foros. sin embargo, en busca de mejorar la comunicación se requiere evolucionar estas soluciones combinándolas con protocolos específicos que representan dinámicas de comunicación que surgen en ciertos niveles organizacionales. el objetivo de este trabajo especial de grado consiste en el desarrollo de una aplicación colaborativa vía web para coordinar, organizar y ejecutar reuniones electrónicas asíncronas orientadas bajo un protocolo de colaboración de agendas y actas. el análisis se centró en caracterizar los diferentes aspectos al momento de organizar y llevar a cabo una reunión entre un grupo de trabajo. algunos de estos aspectos son: discrepancia entre los miembros del grupo para llegar a un acuerdo que permita definir cuando se ejecutará la reunión y la necesidad de contar con un protocolo de colaboración que ayude al coordinador de la reunión y a los participantes en el proceso de interacción, que facilite alcanzar los objetivos propuestos. la aplicación se elaboró siguiendo el método de desarrollo basado en el modelado ágil (ma), especificando como artefactos principales: el modelado de casos de uso y diagramas de flujo de trabajo. patrones de interacción propuestos por welie para la descripción de la interfaz y como tecnología a utilizar ruby on rails con la base de datos mysql.','aplicación colaborativa, reuniones electrónicas, protocolo de comunicación, agendas y actas, modelado ágil, patrones de interacción, ruby on rails, modelo vista controlador (mvc).','aplicaciones en internet'
'gestión de historias medicas de hospitalizaciones utilizando dispositivos móviles y tecnología wi-fi.','en el presente trabajo especial de grado se describe el proceso de análisis, diseño e implementación de un sistema de gestión de historias médicas de hospitalizaciones, utilizando dispositivos móviles con capacidades de navegación web y capacidades de conexión a redes inalámbricas ieee 802.11. la solución planteada se desarrolló bajo una arquitectura web de tipo cliente/ servidor. la gestión tradicional de historias médicas conlleva múltiples inconvenientes, un ejemplo consiste en el almacenamiento físico y custodia de historiales médicos, los cuales se convierten en un verdadero problema debido a la gran cantidad de información que se maneja. de igual forma, la gestión tradicional conlleva a posibles equivocaciones de legibilidad al momento de realizar el llenado de la información o al momento de realizar transcripciones de un lugar a otro, pudiendo causar demoras e inconvenientes en la prestación del servicio médico. el uso de dispositivos móviles para la gestión de historiales médicos en un área de hospitalización, representa una solución portable y poco costosa a los problemas inherentes de la gestión tradicional. los beneficios del uso de dispositivos móviles en un área de hospitalización se evidencian al permitir que los profesionales de la medicina ejecuten procesos de toma de decisiones eficientes y oportunos, teniendo acceso a la información de forma electrónica sin importar el lugar donde se encuentren.','historias médicas, dispositivos móviles, redes inalámbricas, hospitalizaciones, ieee 802.11.','tecnologías de comunicación y redes de computadoras'
'implementación de una arquitectura de red wlan basada en el estándar ieee 880022..1111 y en el esquema de seguridad wpa22--enterprise','la empresa c.g.s.i., c.a. (consultoría global en seguridad informática) requería implementar una red inalámbrica con fuerte énfasis en la seguridad, para remplazar su antigua wlan basada en un dispositivo orientado a redes hogareñas y con bajos niveles de protección. en este trabajo especial de grado se presenta el proceso de diseño, implementación y pruebas de una nueva red inalámbrica para c.g.s.i, c.a., acorde con las mejores prácticas de la industria. esta red consta de una arquitectura de conectividad que da soporte al acceso de los clientes inalámbricos, conforme al estándar ieee 802.11. los componentes de esta arquitectura están basados en dispositivos del fabricante de equipamiento para wlan aruba networks. por otra parte, existe también una arquitectura de seguridad donde se establece la infraestructura de autenticación y control de acceso a la red inalámbrica. la arquitectura de seguridad, construida sobre los componentes de la plataforma microsoft active directory de la compañía, implementa el esquema wpa2-enterprise (wi--fi protected access 22), que provee autenticación ieee 802.1x y cifrado de datos ccmp-aes. el resultado final es una solución wlan completamente funcional que cumple con la especificación de red de seguridad robusta (rsn) definida en el estándar ieee 802.11-2007.','redes inalámbricas, wlan, ieee 802.11, wi-fi, seguridad, wpa2, ieee 802.1x, ccmp, aes.','tecnologías de comunicación y redes de computadoras'
'modelado del proceso de gestión de cambios según itil bajo el software libre intalio','la librería de infraestructura de tecnología de la información ((itil -- information technology infrastructure library)) propone un conjunto de mejores prácticas para gestionar el proceso de cambios en las organizaciones,, debido a que en muchas de ellas no existe un control eficiente de los cambios que se realizan.. para implementar este proceso de manera eficiente,, se realizó la evaluación de herramientas de software libre y de sistemas de gestión de procesos de negocios,, seleccionando a intalio bpms 55..22 para cumplir con el objetivo de este trabajo especial de grado..el uso de esta herramienta permitió modelar el proceso;; definir valores a los parámetros,, tales como los nombres o roles de los actores de las tareas;; y poner en ejecución el proceso,, sin tener que esperar a ningún desarrollo de programación..finalmente se obtuvo el modelo del proceso en una plataforma que permite gestionarlo y adaptarlo a cualquier organización en base a las mejores prácticas propuestas por itil.','bpm, bpms, intalio, itil, proceso de gestión de cambios, soa, web services.','sistemas de información'
'sistema de gestión de servicios de reservación y control de inventario a través del uso de dispositivos móviles','el presente trabajo especial de grado tiene como objetivo la realización de un sistema que permitirá la administración del inventario y el almacén de una empresa que presta servicios de spa, además de las reservaciones de las citas para sus servicios. este sistema deberá operar tanto para los empleados de la empresa como para los clientes de la misma, con distintos niveles de acceso y de forma remota desde un computador o algún dispositivo móvil con capacidades de conexión. para ello se debieron recolectar datos sobre la empresa y las distintas herramientas existentes actualmente en el mercado para el desarrollo de sistemas de información de manejo de almacenes, desarrollo de sistemas para dispositivos tanto fijos como móviles e inalámbricos. en función de lo antes expuesto se elaboró una propuesta de sistema de gestión de servicios para la empresa jumbo spa, para dar una solución eficiente a los requerimientos de la empresa.','sistema de información, control de inventario, manejo de reservaciones, dispositivo móvil, desarrollo web, diseño, automatización, almacén.','tecnologías de comunicación y redes de computadoras'
'desarrollo de una solución de inteligencia de negocios para un departamento de finanzas dentro del sector petroquímico','el presente trabajo especial de grado (teg) consiste en el desarrollo de una solución de inteligencia de negocios (bi, business intelligence por sus siglas en inglés) para un departamento de finanzas del sector petroquímico, el cual maneja una gran cantidad de información y esta es utilizada para realizar los análisis, reportes e informes necesarios. en la actualidad estas tareas son realizadas de manera manual apoyándose en hojas de cálculos, lo que puede traer como consecuencia errores de manipulación en los datos y una gran pérdida de tiempo en todo este proceso. nuestra solución de inteligencia de negocio disminuye los tiempos empleados para la extracción y carga de los datos así como para la generación de reportes, informes, gráfica, entre otros y aseguran la entrega de información exacta, útil y necesaria para apoyar la toma de decisiones. el objetivo de este teg es aprovechar las ventajas que nos ofrece una plataforma bi la cual es una arquitectura y colección de operaciones integradas y bases de datos que proporcionan a la comunidad empresarial el acceso fácil a los datos; es decir se aprovecha los proceso analítico (olap) el cual nos permite un mejor rendimiento para acceder a los datos ultidimensionales proporcionando una base técnica para los análisis y cálculos requeridos, ayudando a que se tomen decisiones de manera rápida y precisa. para alcanzar dicho objetivo se utilizó una metodología de desarrollo de soluciones de inteligencia de negocio llamada \\the business dimensional lifecycle\\propuesta por ralph kimball. y como plataforma de desarrollo se utilizó una herramienta de código abierto (open source) llamada pentaho bi la cual es una plataforma que ofrece funcionalidades como los son la integración de datos (etl), reportes, análisis, herramientas olap, minería de datos, entre otras.','inteligencia de negocio, datawarehouse, pentaho, análisis, olap, integración de datos, metodología de ralph kimball.','sistemas de información'
'implementación de un dispositivo integrado de seguridad utm y evaluación de la factibilidad de su configuración a través de la metodología de intrusión lpt','el presente trabajo especial de grado consiste en evaluar la factibilidad de la configuración de un utm (unified threat management) firebox 750e watchguard, el cual permite la administración de la red y proporciona seguridad a la misma, a través de la metodología de intrusión lpt (licensed penetration tester). el fuerte de los dispositivos utm es la integración de los diferentes servicios de seguridad en un solo dispositivo, mediante el cual se provee de manera centralizada la seguridad y administración de la red, facilitando la labor del administrador de red y del analista de seguridad. es importante acotar que la instalación y configuración descritas en el t.e.g. son genéricas para cualquier dispositivo utm de la marca watchguard. el trabajo se inicia con un estudio teórico de los aspectos más relevantes que se deben tomar en consideración en lo que a seguridad informática se refiere y un análisis de las técnicas más comunes utilizadas por los hackers. para la instalación del dispositivo se utilizan las recomendaciones del fabricante y para su configuración se toma en cuenta la política de uso de internet de la institución y sus requerimientos en cuanto al servicio. se aplica la metodología lpt al dispositivo para verificar la factibilidad de la configuración del utm. los dispositivos utm brindan protección de firewall convencional, protección aantispam - antiphishing - filtro de contenidos - antivirus y detección/prevención de intrusos ids (intrusion detection system) / ips (intrusion prevention system)). estos dispositivos también permiten la creación de redes vpn (virtual private network), utilizar protocolos de ruteo, traducciones de direcciones y registro delogs, entre otros. la metodología para pruebas de intrusión lpt es propia de la casa de consultores de seguridad ec council, la cual define una serie de pasos para probar la seguridad de diferentes equipos, aplicaciones y entornos de trabajo.','utm, seguridad informática, lpt, hackers, servicios de seguridad informática.','tecnologías de comunicación y redes de computadoras'
'desarrollo del sistema de gestión académica conest 2.0: módulo de reportes, constancias y tareas en lote','módulo de reportes, constancias y tareas en lote del sistema conest 2.0, basadas en las nuevas tecnologías ruby 1.9, rails 2.2 y mysql 5.0. las funcionalidades ofrecen una mayor usabilidad y rendimiento que las presentes en el sistema conest y permite el ahorro de recursos en la impresiòn fìsica de documentos.','conest, conest 2.0, ruby, rails, mysql, backgroundrb, reportes, constancias, tareas en lote.','base de datos'
'desarrollo de una aplicación adaptativa para el control de préstamo de los equipos del centro de computación','el presente trabajo especial de grado consiste en el desarrollo de una aplicación para el control de préstamos de los equipos del centro de computación de la facultad de ciencias de la ucv. dicha aplicación es adaptativa, es decir que su interfaz de usuario (basada en tecnología web) se puede visualizar tanto en un computador de escritorio como en un dispositivo móvil pequeño. el documento comienza con el estudio teórico de todos los conceptos necesarios que se tomaron en cuenta para el desarrollo de este proyecto. la metodología utilizada para la implementación consiste en una metodología iterativa adaptada al modelo de desarrollo ágil, donde una iteración refleja el proceso de creación de un módulo de la aplicación. la tecnología utilizada para el desarrollo de la aplicación incluye el servidor web apache versión 2.2.8, el lenguaje de programación php versión 5.2.5 y el servidor de base de datos mysql versión 5.0.51a. cabe destacar que todas estas herramientas utilizadas son open source (código abierto). la aplicación desarrollada es capaz de adaptarse a diferentes dispositivos, ofreciendo a los usuarios todas las funciones independientemente del dispositivo que se utilice, donde la única diferencia percibida es la interfaz. las principales funciones de la aplicación consisten en registrar la entrada y salida de los equipos del centro de computación, para así tener un mejor control de estos.','redes, dispositivos inalámbricos, dispositivos móviles, web móvil, pda, web, php, mysql.','tecnologías de comunicación y redes de computadoras'
'organización, gestión y análisis de datos de levantamiento de suelos mediante un agente de software','uno de los principales problemas encontrados en el proceso de levantamiento de suelos, está relacionado con la manera de organizar la información que se genera relativa a los suelos, debido a las distintas fuentes de información que son utilizadas tales como imágenes satelitales, levantamiento de suelos, resultados de distintas pruebas de laboratorio, entre otros. esta falta de organización dificulta el almacenamiento y posterior ubicación de manera rápida y concisa de la información por parte de los investigadores. con el fin de apoyar a los edafólogos en el estudio de suelos, toma de decisiones sobre el uso apropiado de este recurso y realizar predicciones más precisas sobre usos específicos de ellos, este análisis permite su clasificación determinando así su disponibilidad en calidad, cantidad y distribución. en este trabajo se propone un agente de software que gestione y almacene los datos inherentes a los perfiles de suelos; siendo este el núcleo de un sistema basado en agentes (sba) que apoye a los profesionales de agronomía en sus labores rutinarias de captura, gestión y clasificación de la información. este sistema permitirá gestionar la información relacionada con los aspectos propios del suelo y otras variables geográficas de un espacio particular, mediante la carga de información y consultas complejas que permitirán al usuario descifrar de manera más simple todo lo relacionado con los suelos, indicando sus potencialidades y limitaciones más importantes, así como, la superficie que ellos ocupan y donde se ubican los que poseen ciertas características particulares. durante el desarrollo del sistema de software se realizaron diversas investigaciones sobre las metodologías más utilizadas para el desarrollo de sistemas basado en agentes. se aplicó la metodología mas-commonkads, debido a que esta posee herramientas para determinar todos los elementos que interactúan junto a sus relaciones, lo cual permite poder identificar de forma precisa los actores activos y pasivos. por esto, al usar esta metodología se logro diseñar un modelo de sistema multi-agentes el cual sirvió de guía durante todo el desarrollo y posteriormente formular los objetivos que llevaron a la mejor solución mediante la elaboración de requisitos.','mas-commonkads, multi-agentes, suelos, gestionar, software.','inteligencia artificial'
'sistema de gestión de preparadores para la facultad de ciencias de la ucv','la gestión de preparadores no está automatizada en la universidad central de venezuela, por lo que los trámites se hacen lentos y propensos a frecuentes errores. esto trae como consecuencia retardos e inconvenientes administrativos en la contratación delpersonal docente de preparadurías. en este trabajo se diseñó y construyó una aplicación basada en tecnologías web que permiten automatizar y agilizar los procesos administrativos referentes a la contratación, seguimiento y control del personal de preparadurías. el sistema está diseñado para atenderlas demandas de la facultad de ciencias de la ucv. el diseño se basa en la metodología de flujos de trabajo (workflows) lo que lo hace flexible y fácil de extender a nuevos requerimientos.el sistema ha sido desarrollado en ruby usando el framework de desarrollo rails y una arquitectura basada en servicios web que permite integrar este sistema con otros ya previamente desarrollados o en desarrollo, especialmente el sistema de control de estudiosconest y con el sistema de gestión de personal de la ucv.','preparadores, presupuesto, movimiento de personal, recursos humanos, consejo de facultad.','aplicaciones en internet'
'prototipo del sistema de gestión de preparadores de la escuela de computación, módulos gestión de concursos y nombramientos.','el propósito de este trabajo especial de grado se orientó en la elaboración de un prototipo del sistema de gestión de preparadores de la escuela de computación, enfocado específicamente en el desarrollo de los módulos de gestión de concursos y nombramientos, tomando como base el modelo workflow propuesto para estos procesos. para llevar a cabo la implementación de este sistema se uso openup como metodología de desarrollo de software y la herramienta de ruby on rails como plataforma de construcción. el resultado obtenido fue la creación de un prototipo encargado de controlar la gestión de los preparadores, específicamente en lo concerniente a los módulos gestión de concurso y gestión de nombramiento. este prototipo depende de la interacción con la base de datos a través de servicios web. dado que el desarrollo de la base de datos del sistema corresponde a un trabajo a futuro, el prototipo fue dotado de una solución preliminar, a través de archivos xml que simulan la capa de datos, con la cual se muestran los resultados a través de la aplicación, mientras se alcanza en otra etapa la implantación del acceso a los datos mediante los servicios web.','gestión de preparadores, gestión por procesos, workflow, servicios web, openup, ruby on rails.','aplicaciones en internet'
'desarrollo de un módulo que permita manejar eventos dentro de los procesos modelados para el prototipo de la aplicación web de gestión de procesos académicos de la coordinación de postgrado de la facultad de ciencias de la universidad central de venezuela','en la unidad académica de la coordinación de postgrado de la facultad de ciencias de la universidad central de venezuela intervienen un determinado número de procesos donde destaca la complejidad y flujo constante de información afectando de manera directa o indirecta el tiempo de respuesta para llevar a cabo la realización efectiva de diversos trámites internos y externos que allí son demandados. el presente trabajo especial de grado tiene como objetivo desarrollar un sistema de workflow u herramienta que permita monitorear los procesos y controlar su ejecución, encargándose de crear una lista de trabajo según los procesos vayan iniciándose, y según sea el perfil entre el conjunto de actores como lo son estudiantes, docentes y personal administrativo que labora en dicha organización. la metodología de desarrollo utilizada para la gestión de esta aplicación fue una adaptación de la programación extrema (xp), la cual permitió la elaboración de la parte práctica del presente trabajo de investigación. dentro de las necesidades contempladas en la aplicación se tiene lo siguiente: mantener informado a los actores involucrados del flujo de trabajo con la información pertinente dependiente del tipo de proceso que se estuviese llevando a cabo en determinado momento. el desarrollo de la aplicación contempló el estudio e incorporación del conocimiento previamente desarrollado en los sistemas referentes a: el sistema de control de estudios (conest) y el sistema de gestión de postgrado (sigepost) y el nuevo sistema conest postgrado.','coordinación de postgrados, workflow, estudiantes, docentes, conest postgrado.','aplicaciones en internet'
'framework basado en colonias de hormigas artificiales para la resolución de problemas de optimización','en el trabajo se realizó un estudio a profundidad de los modelos computacionales derivados los sistemas de colonias de hormigas naturales en búsqueda de alimento. luego, se construyó una herramienta basada en software libre, en la cual el programador puede hacer uso de los principales algoritmos de colonias de hormigas artificiales. por último, se verificó el funcionamiento del framework, y la aplicabilidad de los algoritmos de colonias de hormigas a distintos problemas de optimización.','colonias de hormigas, framework, optimización, sistemas bioinspirados, inteligencia artificial.','inteligencia artificial'
'diseño e implementación de un servicio de e-mail aunado a técnicas antispam y basado en software de dominio público','el presente trabajo especial de grado está enfocado hacia la implementación de un sistema de correo electrónico conjugado con técnicas y herramientas para el control de spam basado en software de dominio público. el objetivo del trabajo es proponer una solución que permita a cualquier persona u organismo implementar un sistema de correo electrónico con un eficaz manejo de mensajes no deseados. el proyecto está compuesto por un proceso de investigación, instalación y configuración de los componentes necesarios para implementar una plataforma de correo electrónico con control de spam. la solución antispam se basa en spamassassin, el cual es un software de código abierto que implementa funcionalidades necesarias para el control del spam. como caso de estudio se seleccionó a la asamblea nacional, en la cual se efectuó reingeniería total de la plataforma de correo, quedando establecido zimbra messaging and collaboration suite 5.0 como plataforma de mensajería y colaboración. esta suite usa como background el sistema operativo debian etch release 4. todos estos sistemas se integraron para proporcionar un servicio de correo libre de spam en concordancia con los lineamientos del decreto nº 3.390. con la implementación de la plataforma de correo electrónico con control de spam, se logró obtener una solución que proporciona beneficios adicionales (antivirus, firewall, etc.) que brinda más y mejores opciones a los usuarios y administradores. de igual forma se obtuvo una plataforma fácilmente escalable en cuanto a servicios y funcionalidades, además de ser extensible, ya que esta solución se podría implementar en otros entes públicos y privados.','spam, e-mail, zimbra, postfix, spamassassin, mta, correo electronico.','tecnologías de comunicación y redes de computadoras'
'implementación de un protocolo de enrutamiento avanzado de vector de distancia','el presente trabajo especial de grado consiste en el desarrollo de una aplicación denominada easy-eigrp para la enseñanza del protocolo eigrp (enhanced interior gateway routing protocol) patentado por cisco systems. la aplicación provee un conjunto de herramientas que permiten depurar paso a paso todos los procesos llevados a cabo durante el funcionamiento de eigrp en distintos escenarios. el trabajo se inicia con un estudio basado en ingeniería inversa, el cual consiste en el desarrollo de situaciones puntuales para el estudio del comportamiento del protocolo utilizando routers cisco. durante la implementación de la aplicación, se utilizó una metodología iterativa basada en las nuevas tendencias del modelo de desarrollo ágil que plantea la creación de cada una de las herramientas de la aplicación en una iteración del proceso que abarca las fases de análisis, diseño, implementación y pruebas. easy-eigrp está diseñado para ser instalado en cualquier computador y convertir al mismo en un router creando la posibilidad de comunicarse con otros routers o computadores que cuenten con el protocolo. easy-eigrp es una implementación parcial de eigrp donde se encuentra el protocolo rtp (reliable transfer protocol), el algoritmo dual (diffussing update algorithm), el protocolo de descubrimiento y recuperación de vecinos, entre otros. además, la aplicación incorpora una gran cantidad de funcionalidades para facilitar el uso de la herramienta y el entendimiento del protocolo. algunas de estas funcionalidades son: posibilidad de configuración de interfaces físicas y virtuales, mapas parciales de la red, máquina de estado finito, sniffer, bitácoras de sucesos con distintos niveles de depuración, etc.','eigrp, rtp, dual, cisco systems, protocolo de enrutamiento, java.','tecnologías de comunicación y redes de computadoras'
'mejoras al prototipo de sistema de información de gestión de proyectos:: módulos de alcance,, tiempo,, costes y recursos humanos','este trabajo especial de grado (t.e.g.) comprende la revisión y reparación de un sistema de información para la gestión de proyectos en el área de alcance, tiempo, costes y recursos humanos, siguiendo las buenas prácticas planteadas por la guía del pmbok (project management body of knowledge, guía de fundamentos de la dirección de proyectos). con este t.e.g. se desea: revisar y reparar los módulos de alcance, tiempo, costes y recursos humanos para su integración en el prototipo de sistema de información de gestión de proyectos (sigp), con el fin de cumplir un conjunto de requisitos y requerimiento para la gerencia de proyectos. para llevar a cabo este desarrollo se utilizó una metodología de mejoras, ajustando la metodología de trabajo de la tesis doctoral: diseños instructivos adaptativos:: formación personalizada y reutilizable en entornos educativos berlanga ((22000066)). el método de desarrollo utilizado consiste en: conocer el estado del arte::en este paso se desea conocer y obtener las bases conceptuales de la gerencia de proyecto. identificar áreas de mejora::en este paso se revisa el sigp, a fin de determinar cuáles son las herramientas que posee el sistema y cuáles de estas presentan fallas. proponer y desarrollar alternativas de solución::en este paso se propone y se desarrollan las alternativas de solución para mejorar las fallas presentadas. obtener retroalimentación de la comunidad científica y reflexionar y plantear nuevas cuestiones::en este paso se revisan las propuestas establecidas en el paso anterior considerando si las mismas son o no son adecuadas. probar y evaluar la propuesta final::en este paso una vez que la propuesta es lo suficientemente consistente, se implementa, se prueba y se evalúa mediante la aplicación de un caso práctico. se revisan las herramientas correspondientes al área de tiempo, alcance, costo y recursos humanos para seleccionar aquellas que presentan fallas en el prototipo. una vez seleccionadas se llevan a cabo las mejoras de las mismas y las pruebas necesarias para comprobar su correcto funcionamiento.','proyecto, gestión de proyecto, herramientas y técnicas, área de conocimientos, alcance, tiempo, costes, rrhh, revisión, falla, reparación.','base de datos'
'propuesta de diseño de una solución de videovigilancia soportada en cámaras ip con tecnología ieee 802.11 para el edificio el rectorado, la plaza cubierta y el complejo cultural aula magna de la ucv','debido a los diversos ataques en los que se ha visto involucrada la universidadcentral de venezuela, surgió la necesidad de una propuesta de diseño de una soluciónde videovigilancia soportada en cámaras ip, con la finalidad de incrementar los nivelesde vigilancia en el edificio el rectorado, la plaza cubierta y el complejo cultural aulamagna de la ucv. esta fue la propuesta de la dirección de tecnología de informacióny comunicaciones (dtic), con el objetivo de reforzar los niveles de seguridad y de estamanera brindar tranquilidad a la comunidad universitaria. en este trabajo especial de grado se presenta el diseño, los dispositivosinalámbricos usados y unas pruebas de funcionamiento, que dan soporte al diseño dela solución. los dispositivos inalámbricos involucrados en el diseño están basados enel fabricante cisco systems. la propuesta de diseño de la solución de videovigilanciase basa en el estándar ieee 802.11 y así mismo se propone la implementación de qos(quality of service), específicamente del mecanismo de diffserv (differentiatedservices), con la finalidad de evitar la congestión del tráfico que transita por la red. a suvez para validar esta propuesta de diseño, se realizaron diversas pruebas. el resultadofinal, es una solución de videovigilancia soportada en una wlan completamentefuncional, que cumple con los requisitos exigidos por la dtic y por la dirección deseguridad de la ucv.','wlan, ieee 802.11, quality of service, qos, differentiated services, diffserv, cámaras ip.','tecnologías de comunicación y redes de computadoras'
'desarrollo de un agente para la captura de datos agronómicos desde dispositivos móviles utilizando la metodología jade','el estudio y clasificación de suelos resulta ser una actividad imprescindible para el manejo sustentable de este recurso en múltiples actividades humanas. un problema al que se enfrentan los investigadores en esta área está relacionado con la manera cómo se organiza y gestiona la información que se genera desde las distintas fuentes utilizadas, tales como: imágenes satelitales, levantamiento de suelos, resultados de distintas pruebas de laboratorio, entre otras. con el fin de apoyar a los profesionales en esta actividad, se ha propuesto un sistema basado en agentes inteligentes para el almacenamiento, gestión y clasificación de datos. en este sistema se contempla el diseño y construcción de un agente que permita la captura de datos desde un dispositivo móvil, que es el motivo del presente trabajo. el agente beneficia el proceso de recolección de datos, haciendo la captura y el registro de los datos de campo desde la misma aplicación; a diferencia de los procesos manuales, los cuales requieren realizar gastos adicionales de tiempo y recursos, para la validación y el almacenamiento de los datos. además, el agente proporciona asistencia al especialista durante el proceso de captura.','agente, captura de datos, dispositivo móvil, jade, metodología de agentes, siscla, agentes inteligentes, agronomía, edafólogo, agrologo, laboratorio de inteligencia artificial.','inteligencia artificial'
